ID,title,regexp,description
1,One Numeric Digit,^\d$,Matches exactly 1 numeric digit (0-9).
2,Five Integer US ZIP Code,^\d{5}$,"Matches 5 numeric digits, such as a zip code."
3,ZIP+4 - XXXXX-XXXX,^\d{5}-\d{4}$,Numeric and hyphen 5+4 ZIP code match for ZIP+4.
4,US ZIP (5 or 5+4),^\d{5}$|^\d{5}-\d{4}$,"This regular expression will match either a 5 digit ZIP code or a ZIP+4 code formatted as 5 digits, a hyphen, and another 4 digits.  Other than that, this is just a really really long description of a regular expression that I'm using to test how my front page will look in the case where very long expression descriptions are used."
9,,^\d{3}-\d{2}-\d{4}$,This regular expression will match a hyphen-separated Social Security Number (SSN) in the format NNN-NN-NNNN.
10,Any One US ASCII Letter,^[a-zA-Z]$,Matches any single upper- or lower-case letter.
11,A string of any US ASCII letters,^[a-zA-Z]+$,Matches any string of only upper- and lower- case letters (no spaces).
12,Alphanumeric,^[a-zA-Z0-9]+$,Matches any alphanumeric string (no spaces).
13,Positive Integer,^\d+$,Positive integer value.
14,Signed Integer,^(\+|-)?\d+$,Matches any signed integer.
15,Strongish Password,"^[a-zA-Z]\w{3,14}$","The password's first character must be a letter, it must contain at least 4 characters and no more than 15 characters and no characters other than letters, numbers and the underscore may be used"
16,Email - Overly Simple,"^\w+@[a-zA-Z_]+?\.[a-zA-Z]{2,3}$",Simple email expression.  Doesn't allow numbers in the domain name and doesn't allow for top level domains that are less than 2 or more than 3 letters (which is fine until they allow more).  Doesn't handle multiple &quot;.&quot; in the domain (joe@abc.co.uk).
17,Date With Slashes,"^\d{1,2}\/\d{1,2}\/\d{4}$",This regular expressions matches dates of the form XX/XX/YYYY where XX can be 1 or 2 digits long and YYYY is always 4 digits long.
18,,foo,"The &quot;hello world&quot; of regular expressions, this will match any string with an instance of 'foo' in it."
19,,^[1-5]$,"This matches a single numeric digit between 1 and 5, and is the same as saying ^[12345]$."
20,,^[12345]$,"This matches a single numeric digit between 1 and 5, and is the same as saying ^[1-5]$. "
22,,^[2-9]\d{2}-\d{3}-\d{4}$,"This expression matches a hyphen separated US phone number, of the form ANN-NNN-NNNN, where A is between 2 and 9 and N is between 0 and 9."
23,,^\d{5}-\d{4}|\d{5}|[A-Z]\d[A-Z] \d[A-Z]\d$,"This expression matches three different formats of postal codes: 5 digit US ZIP code, 5 digit US ZIP code + 4, and 6 digit alphanumeric Canadian Postal Code.  The first one must be 5 numeric digits.  The ZIP+4 must be 5 numeric digits, a hyphen, and then 4 numeric digits.  The Canadian postal code must be of the form ANA NAN where A is any uppercase alphabetic character and N is a numeric digit from 0 to 9."
24,,^a$,"IP Address:
This regular expression, when used as the ValidationExpression attribute of a RegularExpresionValidator ASP.NET Server Control, will validate that the user has entered a valid IP Address. Note that some valid addresses (such as the 127.0.0.1 localhost address) do show up as not valid, but this expression works for better than 90% of cases."
25,,^[a-zA-Z0-9\-\.]+\.(com|org|net|mil|edu|COM|ORG|NET|MIL|EDU)$,"Domain names:
This regular expression tests the validity of a domain or hostname. It will match any valid domain name that does not contain characters which are invalid in URLs, and which ends in .com, .org, .net, .mil, or .edu. You can add additional valid TLDs by appending the | (pipe) character and the desired TLD to the list in the parens."
26,,"^([a-zA-Z0-9_\-\.]+)@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|(([a-zA-Z0-9\-]+\.)+))([a-zA-Z]{2,4}|[0-9]{1,3})(\]?)$","Email validator that adheres directly to the specification for email address naming. It allows for everything from ipaddress and country-code domains, to very rare characters in the username."
27,,((\(\d{3}\) ?)|(\d{3}-))?\d{3}-\d{4},US Phone Number -- doesn't check to see if first digit is legal (not a 0 or 1).
28,,[\w-]+@([\w-]+\.)+[\w-]+,Yet another simple email validator expression.
29,,\d{4}-?\d{4}-?\d{4}-?\d{4},"Major credit card validator.  Only checks that the format is 16 digits (optionally separated by hyphens), not the value of any of the digits."
30,,"^(?=.*\d).{4,8}$",Password expression.  Password must be between 4 and 8 digits long and include at least one numeric digit.
31,,"^(?=.*\d)(?=.*[a-z])(?=.*[A-Z]).{4,8}$","Password matching expression.  Password must be at least 4 characters, no more than 8 characters, and must include at least one upper case letter, one lower case letter, and one numeric digit."
32,,^(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])$,RegExp for validating the format of IP Addresses. This works great with the ASP.NET RegularExpressionValidator server control.
33,,(\w+)\s+\1,"This expression uses a BackReference to find occurrences of the same word twice in a row (separated by a space).

Matches things like 'mandate dated', which may not be desirable.  See Sean Carley's update for a better expression for true repeated word matching."
34,,"\(([0-9]{2}|0{1}((x|[0-9]){2}[0-9]{2}))\)\s*[0-9]{3,4}[- ]*[0-9]{4}","Match diferent styles for brazilian Phone number code.
Only DDD (12), complete DDD (012), complete DDD + Telephony Company (0xx12) plus 3 or 4 digits (city code) plus 4 digits (phone number)."
36,,^#?([a-f]|[A-F]|[0-9]){3}(([a-f]|[A-F]|[0-9]){3})?$,"Tests for valid HTML hexadecimal color codes. The # symbol is optional. And it will except either the 3 digit form for the 216 Web safe colors, or the full 6 digit form. I am use it on my site to allow users to customize the site's colors."
37,,((mailto\:|(news|(ht|f)tp(s?))\://){1}\S+),Regular Expression matches any internet URLs. Used with the replace method it comes in very handy.
38,,"^[a-zA-Z]{1,2}[0-9][0-9A-Za-z]{0,1} {0,1}[0-9][A-Za-z]{2}$","Matches UK postcodes according to the following rules

1. LN NLL     eg N1 1AA 
2. LLN NLL    eg SW4 0QL 
3. LNN NLL    eg M23 4PJ 
4. LLNN NLL  eg WS14 0JT 
5. LLNL NLL   eg SW1N 4TB 
6. LNL NLL     eg W1C 8LQ

Thanks to Simon Bell for informing me of LNL NLL rule for postcodes which I had omitted in an earlier version.

"
39,,"^[\w\.=-]+@[\w\.-]+\.[\w]{2,3}$","Much simpler email expression. This one forces a length of 2 or 3, which fits current specs, but you may need to alter the end as this one allows all numerals on the .COM section."
40,,/\*[\d\D]*?\*/,"If you need to extract or remove any /* */ sytle comments from any Java, JavaScript, C, C++, CSS, etc code you have this regular expression can help."
41,,^\$[0-9]+(\.[0-9][0-9])?$,Validates a dollar amount including a dollar sign and 2 decmals. The decimal and cents are optional.
