G B L 3 Y L Y 3 B Y 
L B Y B G B 5 Y B L 
Y B L L B L Y 5 Y Y 
L B B R L G 1 L 1 B 
B B G Y G R B Y Y Y 
G B G B Y R Y G R Y 
B G Y R R R L G B R 
R L G Y G L R L B Y 
G R B G L 3 R R Y G 
R R Y R R B G Y G Y 
R L Y Y L 1 G R Y Y 
1 4 Y G R Y R B R 3 
G L B B B L R Y G B 
R B B B Y R 4 Y G G 
G Y R B R L R Y G R 
B Y R G R Y R R Y L 
Y B B G Y Y Y Y L G 
B R B 3 G G B 2 G G 
Y B R B G G G G L B 
1 G Y B Y G L B 3 Y 
G L R G 4 B G L L R 
3 B L R G 3 Y G R Y 
R G R R B B Y Y R 5 
R R Y B G R L G G R 
G B G B Y Y R Y Y R 
R B R Y Y 3 L 2 R G 
L B L G L Y L G G R 
Y G L L L 2 L G G B 
4 L 1 L B L 3 G R G 
B 5 5 3 B R G Y R B 
B R B Y Y 2 L B Y R 
Y Y L L G B R B B G 
R 2 R R Y 3 L R B 1 
B B Y R B R Y L B Y 
B Y R R B R R B L B 
B G R B Y G Y 4 L Y 
R L R L R G G R B G 
Y G Y Y 3 L B G L Y 
Y R L 5 Y L L G L 5 
Y G G Y B R 3 Y 1 G 
G G L 5 3 Y B R 2 Y 
R B R L Y L L B B B 
G B L L B B Y B L G 
R G R G Y Y Y L L B 
B R B L Y B B B Y Y 
5 L Y B L Y Y Y B Y 
G Y 3 B L B 2 L R G 
R 1 B L B B B G L L 
Y Y R R L G Y B L G 
3 L L B R Y G B G G 
L R G 2 L L L R Y 1 
B L B B B B 3 R B Y 
G R R B G Y Y Y L L 
B R B B B R B R 4 G 
Y G R L B B Y R 3 B 
L 2 Y G B 4 L R R 1 
B L R G L R Y L 3 4 
R G Y L B 3 B G R L 
R R G L 2 R 3 B L R 
3 Y B Y L G 1 5 Y Y 
B R L L G B L Y 3 G 
Y R G L L Y L L G B 
L 3 R R B Y 1 R Y B 
1 B R R Y B Y Y G Y 
B B L B R L R R 4 L 
G L B R B B R L 3 B 
B L G B 5 3 B R R Y 
B B 2 Y Y B G R G L 
B 2 R 2 Y Y G R L B 
G 2 R G R 5 B B B L 
B R L L R Y Y G R Y 
R Y G L Y 4 G B B B 
2 B R Y B G B Y G G 
B L G R L R Y G B 2 
L Y R B R G 2 Y G Y 
B R L R G B 3 Y R R 
B G 1 Y B L R Y L B 
L 5 L B L G G G Y Y 
L L Y G L G Y R Y 3 
G R 3 2 R B 5 Y R G 
G L B R G L G B Y R 
R Y G G B B R Y 1 R 
G 1 R G Y R B R B L 
Y B L L R R R G L L 
Y G Y L G Y G L R G 
L B B 5 B R L G G G 
R L R L B Y L Y L G 
R L 3 L R L 3 G 4 2 
B R B 5 G L G L G R 
B Y Y R R B R G R G 
R Y Y G R L Y L B Y 
R Y L G G 3 Y Y R L 
L Y L B R R R R L Y 
R B R Y Y G G L Y 2 
L Y L Y Y R B G G 1 
3 Y Y G B R L Y G L 
R L L G B B L R B Y 
G L B G Y 3 B Y Y R 
Y R B G L G L L R L 
Y 5 L B R R R Y L L 
1 Y B G 2 G 2 B L R 
Y G Y B G Y B B Y B 
G R G R L G L G G G 
G L G Y L R G R G R 
R Y 1 R B B Y L L L 
B L L Y G R G G G B 
G G L G Y G Y L B R 
L B Y R Y B Y Y R G 
R R R B 2 Y L 5 5 Y 
B Y L Y B R G R 5 G 
5 B Y B R B Y 3 Y Y 
L G G G G G G Y R G 
R B L B 3 B L B L L 
5 G Y Y Y 1 G L 2 R 
B G B Y Y R G R Y 3 
2 G Y 2 R B L R Y L 
R Y R Y G L 3 3 R B 
Y Y R L R L B B B Y 
3 L Y R 2 R 3 Y Y 3 
5 B G B B 1 G Y Y G 
G R B 2 R R Y R B 2 
B G 1 G R R R R G Y 
L R Y G G G L R 2 L 
Y Y 5 G Y L G R R B 
Y 1 G G L B B R G L 
Y R L R R B B Y L G 
3 Y G B G G Y L R Y 
B G R R R B B B G B 
L 1 4 Y R G R G R R 
R G R B B Y L B R G 
R 3 R Y G G B L Y B 
B 5 L 3 B R G B B R 
L L R 3 R R R L B L 
R B L B Y R R 3 Y B 
R B G B G Y B L R 1 
B G 2 R G Y Y L G 3 
R G L Y L R G L G L 
R G B L 3 B G G R Y 
Y Y B 2 L R R Y B L 
G 2 G G B R R Y G R 
Y G R L R R 1 G R Y 
5 Y R G B G B G R 1 
R Y L G Y B B L B B 
G L L B L 1 R R L B 
1 G G Y G B L G G B 
B L L R Y G Y Y L 4 
4 3 R G B B G B R G 
B L G L R G B B R G 
L L B L 5 B L Y Y B 
L B R 1 G Y L L B Y 
R B 1 2 L R B L B 1 
G R R B R B B Y B L 
R G L Y Y Y R Y G B 
Y Y B R G B B R R B 
Y 3 B G B R G Y R B 
L R B G R Y 1 Y B G 
R B L G Y 3 Y R G R 
Y B G 5 G 4 B R Y B 
Y G L Y 3 L R Y L 4 
L 1 B Y L R L R 5 Y 
L 3 5 B Y G B Y Y Y 
Y L L G R R 5 L Y R 
Y L Y G Y B B 1 R R 
R B B G G R L Y L G 
R 2 R L B R L B G G 
Y L G 3 G G Y Y Y R 
L L L B Y Y L Y B G 
L G 3 R B 3 L L R B 
R R R G Y Y L Y R R 
Y Y B B R G Y B R G 
B 1 Y B L 3 Y B R 3 
G Y L G L R L G L L 
B B L G 4 B G Y R G 
L B Y R R Y R L Y L 
B L B L R L G L B L 
L Y Y B Y L G B L L 
3 Y G G L R G Y G 1 
B G Y L 2 B 5 Y 2 L 
Y G Y L Y G Y G Y L 
2 R Y G Y Y R Y L G 
B L G Y L R G G L G 
G B L G B Y R B Y G 
L G Y L L B L R B G 
L B B G L Y R B L Y 
L G G 1 L R R R Y Y 
B G 5 G Y R B G 5 Y 
L L L L R B L Y L L 
L L G B R L B Y B R 
R G B L B G Y R R R 
5 R B B L B Y R L L 
G Y B L Y Y L R 3 Y 
B Y G L L B 2 5 Y G 
L L B B 4 B R B G G 
B B L G R L B 3 R B 
G L G R L B Y 2 G B 
L B R G Y B B Y G G 
L B B R Y L R Y G R 
1 L G 3 L B L L Y L 
B L 4 Y 2 Y G R Y B 
L B L R R L Y G L G 
G G L Y B L G L Y 5 
B G R Y L B Y G G G 
R R R L B Y 2 L R B 
L G L G Y R B L L R 
3 G B L R L G Y R G 
B R G Y B B G Y G G 
G B R L R B G Y Y R 
Y L L R Y B R Y Y R 
1 R B Y B 5 L G B R 
L R R R G G Y Y Y B 
R 1 B L R L L Y L R 
G B G G R B Y G R L 
Y G R L L G 2 R R G 
L 2 L B Y R B L R R 
R 3 L Y B G G R 1 G 
Y B 4 G R L 2 R R L 
Y B G L L G R B L Y 
L R G B L B L L Y L 
Y B R Y B Y G G L L 
Y G Y R Y B B R B 2 
B G Y R G Y G Y B R 
R 2 G Y L R B B G G 
G B B R Y Y 3 B B R 
B B 5 L Y 2 R G Y 4 
1 Y G B R Y R Y L B 
L B 1 G G R R R L B 
R G B L Y B L G L B 
4 3 L R G 3 B L Y L 
R L 5 B G G B Y Y Y 
Y B L Y B 2 B L B Y 
B G L B 5 Y B G G R 
Y R R B B B R Y G 4 
L Y R L B G L 5 R Y 
R 4 Y L 2 G B Y L G 
1 R B Y G 4 L G Y 5 
Y Y G G L R Y Y B B 
B Y R R B B B L R L 
R Y Y G G 3 B Y Y 4 
L G B B L Y G 4 R R 
B Y 2 R Y G L Y Y G 
G L Y R Y 1 B 1 G L 
Y 5 L L B R B B B L 
G B Y L Y 5 G R R B 
G B B B B Y Y R Y Y 
G L R L G G Y B G L 
L G B Y G R Y L L L 
R Y L G 3 2 B B L R 
Y L Y G L B R Y G 3 
B 3 G R Y R 4 G Y L 
L L Y 5 L G R R Y 2 
L B G R 1 B R R Y L 
Y R Y R L R G L Y R 
G R 3 G B B R L 4 B 
Y Y B G B Y G Y 2 L 
Y Y G B Y L L Y L L 
2 Y 3 B L Y Y B G G 
G B Y B R G B R L L 
R B L L G R R Y R G 
G L B G L 3 R L B B 
R L 2 Y B B Y Y G Y 
L G Y B R B Y G 5 Y 
R G Y G R G Y 3 Y 1 
B Y Y G L R G G L Y 
G L G R L B L R 3 G 
Y 3 L L G B R R R 2 
L B B B 5 Y R G Y Y 
R B B B G L R 3 B Y 
Y R R Y R L G G B B 
L B B R G R R B B G 
Y Y L G G L R G Y L 
Y L Y G 4 L Y Y G Y 
5 B L Y L 1 R G L Y 
B B R R L L B B 5 B 
L L L 3 B Y G Y L G 
G L L L G R G Y R L 
G R R 4 Y B Y B 3 G 
R G G L L 5 3 3 Y R 
B B L L B B Y R Y G 
R R R R L 4 L Y G R 
R Y L L B Y L 5 2 B 
B G Y L R R B L 4 G 
G B B G L L G L 3 Y 
R B R R L G 4 G G L 
G B Y R G R G R B 3 
B G G B B B L B R Y 
L B R G R R B 3 B B 
B R Y G Y R G G R B 
B 1 Y L Y Y R B Y Y 
G Y L B B Y G L B L 
L B G Y L L R 3 R L 
Y L Y G G R B G Y Y 
Y L R B G Y R G R L 
R L R 4 L B Y G L Y 
L Y G 4 G R G R 1 5 
L G B 3 R L B R Y L 
Y Y L G B G G 2 Y Y 
R Y R B B Y Y R L G 
Y L B B R Y Y B B G 
R R B G B B L L G R 
G Y L B 1 B R G L G 
Y B G G Y L Y G 1 B 
R B R G L G L Y R B 
R Y Y G B L G L L B 
G B 5 R Y B G Y Y G 
L Y Y B Y Y G L Y G 
G R Y Y B G L 2 R B 
B Y R G R B R R R G 
5 Y Y Y R 5 B Y Y Y 
Y L Y R Y R Y B Y Y 
G 2 B 3 R B R R Y B 
B L L G G G L B R G 
Y B Y B G R L L L L 
L G G R G B Y Y G Y 
B 2 Y G B B G L B G 
B L R L L B L G B Y 
Y Y L 1 B G B R B R 
B G R R 3 B 1 G 3 L 
G R G G L L G L Y L 
R B Y B B 3 3 Y 3 Y 
1 R L R 3 3 R Y B Y 
R G B B R R B B G L 
B L L B Y Y Y G B Y 
R B Y R G R B B R R 
L L G B B L L G L R 
L Y R G B B R G B B 
G 3 2 G 3 L Y L G 5 
G G B R Y G Y Y G L 
G 3 L R L G Y L 3 Y 
R R Y L B B R 1 B R 
R R L Y Y G 5 L L L 
R B G L G B G 3 5 B 
B B B G Y B B R L Y 
G R B R Y 2 3 B B Y 
5 G B L B R G Y R Y 
R B Y G 2 R B L Y Y 
L B Y B G 2 R 2 1 L 
L L R Y B G 5 L B B 
L Y Y G L 3 R Y B B 
1 B B B G L 3 L L L 
2 L 2 Y G Y R L R B 
B B G Y Y B R B B B 
2 L L R B B Y G 1 4 
L G L 2 1 2 3 R B L 
G Y Y R R G G Y B L 
B R G L R 5 1 B G Y 
L G L 4 R L R Y B B 
L G 1 L Y L L B G R 
B B L 2 Y R L L G L 
B G R B G G B R R R 
Y G B G R B 5 G G R 
G R G Y L G L G 3 Y 
Y Y Y G 4 B Y L L G 
Y 2 B L L G G Y Y L 
1 R R L G G R L G Y 
Y B R B Y B G G B L 
Y Y L G L G G 1 B B 
B 1 Y L G G L Y B Y 
B B L R R Y 3 B Y 2 
R L Y L R R G Y 4 G 
R 3 G B L Y Y L G B 
G 5 B G 5 G Y L B Y 
B G G R R B 1 B G L 
1 L G 3 Y B Y L Y Y 
Y Y B R R Y L B L B 
G 5 B L 5 B L R 2 L 
G G 3 Y R B R L L 1 
L Y 1 3 Y B R B B Y 
G Y R R L G Y R R 2 
G L R Y 3 L Y L Y Y 
Y G G B B G B 1 Y G 
B 3 B 1 L B R B 1 G 
G B 2 G L L B B R G 
G R Y L R B 5 L B Y 
Y 3 5 Y L G G L B G 
R R 4 L B B R G L L 
1 Y 2 L B G R L L R 
G Y G G Y R B L Y R 
G Y G Y G G L Y L R 
1 R B Y G L Y Y L L 
B L B Y B 5 B G L G 
B L Y 5 G L G G Y G 
G 3 L B Y R L R B 2 
L G L G Y 5 R R R 1 
L Y G B B 2 R Y G B 
L G B Y Y B L L L B 
Y Y L B Y B L R B L 
Y B Y B G B Y 4 B L 
B 3 B G R L Y B G L 
G B B G B B 1 Y 1 2 
R R G B L Y G L R B 
B R R B L G Y Y Y B 
L Y Y G L G B R G L 
Y L B B B Y B 5 Y L 
B B L R Y R 2 Y B Y 
B B L R R L G Y G B 
G 4 Y L B Y L R G 1 
Y L L 5 B G B R G 5 
L B R L 2 Y B L B L 
G Y R B R G G Y R R 
R B B B B R L B 3 B 
R R L L R R R R L L 
G 5 R Y Y Y G Y Y Y 
B Y Y Y R R R G L B 
2 B B 3 G G 4 L G L 
G 5 R G Y B G 5 R L 
G R B G L 1 G 4 Y G 
Y 2 L L 2 3 R Y Y G 
R B B Y R Y L 3 G L 
B G G R B Y R R 4 G 
B R L L L G B L G 2 
L 4 G B G R R B B L 
R G G Y R G R L R G 
R G B B Y Y Y L G L 
Y 1 R B R G L Y 3 B 
Y G G Y G G R 4 Y R 
G L Y G Y G G R 5 B 
B L B L G Y 1 B L 1 
L R G G Y L R R B G 
Y L Y B G Y R G L G 
2 B R L G Y G G R R 
R R 3 B B Y G G G R 
Y Y L R G G 3 Y G R 
R L L B L Y L B R B 
R G L G Y R B 3 Y 4 
R Y 3 R G G G Y G R 
G Y R G G 1 B G B Y 
B Y 2 G B B B B G G 
Y B B L Y G G L L L 
L B G Y 2 L R B Y R 
4 R Y B R L B Y G B 
L R G G R G G Y B R 
B Y G L B L R G 3 2 
R R 1 L R G Y Y L G 
Y Y G B Y B B L G L 
Y B G B L L Y Y L Y 
B L 2 G G B G Y G R 
B G Y L R Y G 2 2 3 
Y G Y 2 R R L R B L 
G R Y L Y Y G G B G 
5 Y Y R 1 B Y B L R 
B 1 L L L L R B Y R 
L R L R R L G B R L 
R R B Y 1 R 3 1 B B 
L Y B Y R B G B G R 
Y B L G Y G L L R B 
G B 3 G G 2 Y G Y L 
G L Y B B 1 L G R Y 
R B B 5 1 R B L B G 
B 2 L L G Y 1 G L B 
3 Y L 3 Y R B L R B 
L L L B B Y L G 5 3 
Y G G L B L R Y R R 
Y Y G R Y B R B Y R 
L 4 R Y Y 4 B L R G 
Y Y L 4 L Y R G G R 
B G G L Y Y Y B B B 
R G G Y G R B B G Y 
R Y 5 R B G Y B Y L 
R Y L 2 Y L R L B L 
B R R 5 L Y 2 G L B 
2 Y Y G Y R Y R Y L 
Y L R G B R B B Y B 
B G Y G G R R G G Y 
L B Y Y L B G L B G 
L B L G G G L L L L 
R Y G R L G B L Y R 
Y L R B G B Y B R R 
R Y Y B L Y Y L R 2 
L Y B G L G R Y L L 
L Y R B G L R B B Y 
L Y L R 5 Y Y L G 3 
G L R G L R 1 Y R Y 
L Y 3 G G 2 G G Y R 
1 L B G R B 5 R B L 
R R R G L L R L B L 
L 4 B B Y B G R 1 L 
B L B 1 R B B R R B 
G Y B B R G R Y B G 
Y G G G L B G 5 L G 
R R B Y 5 R G G B Y 
R Y 2 G B L Y B B Y 
L G L L R 5 L Y Y B 
B Y 1 L L Y 3 R L Y 
L G 3 Y 5 G R Y G Y 
Y B L Y G L 1 B L Y 
L 3 G L G B B G Y Y 
R L 5 G R B Y B Y G 
1 R R Y R R G Y L G 
G Y 3 G B G Y Y 3 Y 
B R L G G G 2 L G G 
L Y B L Y Y G Y B R 
R L R L B Y G G G B 
B R L Y Y 1 G L Y G 
R L B B Y L Y Y R L 
L 2 3 1 Y B B B R Y 
B B B B 2 G 4 B G 4 
G Y B 5 Y 1 2 2 L L 
R G L L Y G L R Y B 
B R B B G Y 1 Y Y Y 
R 4 B L R R G Y L L 
R R G L Y L L L B L 
3 R G G Y L 3 B Y B 
G G Y Y Y L Y Y L B 
B Y G B L L B G Y L 
L R Y L L R Y R R G 
L L L B L L L L R 2 
Y R L Y R R Y B G Y 
L R R Y B Y B G Y Y 
L Y G L R Y R L Y L 
3 Y Y R L R Y B L R 
R B R B R R Y G L R 
G G 3 2 B R L B L Y 
Y B Y B L R G G B L 
L Y B R R L G Y 1 B 
G L Y B Y B B L Y L 
2 R B R B L R B Y R 
B 5 L 3 B G B L Y 1 
Y G G B G L R Y G R 
R R 1 R R B Y 3 R R 
B B 1 Y B G R R R G 
L R Y L L G L R R Y 
G R Y B 3 B L Y R L 
B Y R 3 Y Y B R L R 
Y 3 B L 4 R G B L G 
3 G R B B Y R Y Y 3 
L G R Y Y G G R B Y 
Y B R 5 B G R B L R 
R B R R G L G L 3 Y 
R R B R Y Y R G G G 
L Y L L L B Y L L L 
Y G Y Y G B L R Y G 
3 Y Y B L B B Y R R 
B 5 G R B L 5 R L Y 
2 Y B G B Y 5 R G G 
R L Y L B B R L L L 
3 1 Y Y B R L L L R 
R L B L G Y G R R R 
2 R L G G R 5 Y Y Y 
L 4 G L 3 L L Y Y Y 
5 G L L 3 L G B R L 
Y Y B L Y 3 B G R 1 
G R B B B Y R Y Y Y 
Y L 4 L B Y L L Y R 
B Y L R B Y B R B B 
B 4 G Y Y Y R B 2 L 
L R G 4 B Y Y Y R L 
Y Y G R B R B L L R 
Y Y 1 Y Y Y B B L R 
B R G L B 1 G L R R 
G 3 Y Y R B R Y R L 
2 B L R B L Y B L G 
L R 1 B G G Y Y Y R 
G 1 Y Y G B B R B 2 
1 R Y 2 R R G B R R 
R L 3 L G G B Y 1 L 
G R Y Y L B L R Y R 
G R Y Y R G B B 3 B 
G G G L Y G R L Y G 
G Y Y G B B G G R R 
B R L 1 B L Y L R L 
R 3 Y G G L Y R 3 G 
Y B Y B B G G L B R 
L R R L B Y R G G G 
B B Y B Y R G G R L 
1 G Y Y L R L B R R 
B B R Y L B R L L Y 
B Y R B L L Y L B B 
Y Y G Y L R Y L Y L 
Y G L 3 G R G G Y 3 
B L G R G Y L R B R 
B L L R G L Y 2 B G 
L L L L 1 Y Y B L L 
R B G B B 1 G L 3 R 
B B G L R R Y L L Y 
B Y Y 3 3 Y 3 Y G B 
B R L R R Y B R R R 
G 4 R L 5 3 B R R R 
Y Y G R B 3 R L L L 
B G R 1 G B R Y 5 G 
G B G B G B L 4 R R 
R B L Y G L Y Y L L 
Y Y L R B G R Y L B 
G L Y L R Y Y L 4 L 
Y G Y B 2 B G Y G L 
G B R 5 R L R L B R 
G B B Y Y B Y G 1 Y 
R L Y B G R B G 2 G 
R Y R Y L R G L L L 
R L G B R G B R Y 5 
L B B B Y Y Y Y L R 
L 1 L Y B Y L R L Y 
Y L B Y G G G L G 1 
R 1 3 R L R B L Y Y 
B 2 Y L L B R 5 1 Y 
Y R G B B L G 3 3 G 
Y G B Y Y Y L L G L 
G 3 L Y R B L Y Y Y 
R R L Y L G R L R R 
3 B Y Y Y L R G B R 
R L 4 B Y R G R R B 
1 B Y R G Y Y L R Y 
G G R B G B Y Y Y L 
B Y L G 4 R R G 5 G 
Y B Y 5 B 5 L B L 4 
3 G R B R B G L L L 
B 5 R Y L 2 2 R B L 
R L G B L G R R R Y 
Y Y L B G L L Y Y B 
Y Y Y R L B R G Y Y 
B L G L G Y 2 R B R 
Y L G L L L 3 R B B 
R G L 1 Y L G Y B 2 
L 2 G B Y Y Y B B B 
Y G G G R L L R R G 
Y Y R G R Y L R L R 
R B Y 2 L G L B L G 
R G G Y B G G R Y R 
B R G 5 L R B L R G 
L B Y Y B B B B Y L 
R G G Y L B Y Y B R 
G G B 5 R G 2 R L R 
G Y L B L G G B L R 
Y L G Y B Y Y G G G 
B G L G G G G R G R 
Y 5 G Y G R G Y L 5 
Y Y Y R G Y R B L B 
Y B B 1 Y Y G 1 Y L 
Y B L Y R R 3 G Y G 
B Y L L B G B B Y Y 
R Y Y Y G L Y L L G 
R Y R G Y L G G R Y 
Y 5 R R B Y B R G Y 
L R 4 Y R Y L B B Y 
2 L B Y B B B G Y L 
Y G B L G L G R L R 
B G L R Y 2 Y L G G 
G B G Y R Y 1 G B 2 
R B 1 L 3 L R R 1 G 
5 B 2 R Y Y G Y G 2 
L R R R L G L L B Y 
G G B G G L L 1 3 Y 
Y R R B R L R 4 B L 
L Y L R B G 2 L 3 Y 
B L G R G L L Y Y L 
Y Y 5 G Y R R Y B L 
R L G Y G L R L B L 
L Y 1 Y R B G 2 B G 
R Y Y Y L R L G R 2 
Y L B R G 2 R R B B 
Y B B L L L L Y B G 
B B R R B R Y B Y G 
B B G G G Y B R B Y 
Y Y 5 G R R 2 R Y Y 
R L G G Y Y G G Y R 
R B R G L L Y B B G 
G L Y Y R R L B Y B 
L R G L B R 1 R L R 
Y R G B B G L R G R 
2 R B R L B B R 3 G 
G 3 L L Y L 5 Y B R 
B Y Y Y G Y G B R L 
R R R G L G R R R B 
R G G L L L R Y 3 Y 
G G B Y G Y G L L G 
B G 3 R 3 L B Y G L 
L G G 3 G G B R L L 
R B Y Y Y L R Y B L 
R 2 B B L B Y L 1 1 
G G Y R G R G B Y G 
R R L B L B L 2 B B 
5 R G R R 3 Y R L B 
B 2 B Y 1 B R Y R R 
R R Y G B G R 2 1 R 
R B R B Y 1 L Y G B 
L L Y B G R B B L Y 
G R Y Y B 2 B G R G 
L 1 R Y B Y Y L Y B 
L L G R B G L 1 B Y 
2 L 3 G G R L B L B 
L L G G Y Y Y 5 B B 
R R G R L L Y Y R L 
R G L G R G G L Y G 
5 2 G L G B L R 2 L 
R B 5 G R B B 3 R L 
G B Y Y L G L G R Y 
L Y G L G B B Y 3 R 
L G 1 Y G L R B 2 L 
B B Y 3 B G 2 4 G R 
R G L B 2 G 5 3 R Y 
G B R G Y 4 R L Y B 
B G L B B R Y B L B 
L R G B Y Y 3 G L 2 
Y B R L G L 3 G L L 
L Y B L Y 1 1 G R L 
L R B Y L B B Y L 5 
R L L G G R B B Y Y 
B L 1 G B G G B 1 1 
3 Y Y L Y G 1 4 1 R 
R L G B B R B L R L 
R L R B G 3 R R Y B 
B B L B G L B R G B 
Y Y G L G R B R Y 3 
L B G L R Y R G G B 
B R R Y R G L B Y R 
G G Y G G 3 G B Y R 
Y 3 G R R Y G R B B 
L B 5 Y L 2 1 G G L 
R R L B R 2 B G L Y 
L L Y Y 3 3 Y Y Y B 
L R R R R G B G L L 
